cod_ibge6,ano,leitos_uti,leitos_complementares
330460,2014,0.0,3.0
330470,2014,9.0,12.0
330480,2014,7.0,9.0
330490,2014,192.0,230.0
330500,2014,0.0,1.0
330510,2014,52.0,115.0
330515,2014,0.0,1.0
330520,2014,0.0,1.0
330530,2014,0.0,4.0
330550,2014,25.0,30.0
330580,2014,25.0,25.0
330590,2014,0.0,3.0
330600,2014,10.0,10.0
330610,2014,6.0,9.0
330615,2014,0.0,2.0
330620,2014,40.0,63.0
330630,2014,179.0,211.0
350010,2014,5.0,5.0
350160,2014,54.0,57.0
350170,2014,10.0,10.0
350190,2014,8.0,9.0
350210,2014,10.0,10.0
350270,2014,0.0,3.0
350280,2014,61.0,81.0
350320,2014,62.0,63.0
350330,2014,40.0,48.0
350390,2014,20.0,21.0
350400,2014,40.0,49.0
350410,2014,26.0,27.0
350450,2014,10.0,15.0
350520,2014,0.0,9.0
350550,2014,54.0,60.0
350570,2014,59.0,92.0
350590,2014,8.0,8.0
350600,2014,237.0,300.0
350610,2014,6.0,9.0
350650,2014,12.0,13.0
350750,2014,61.0,85.0
350760,2014,42.0,46.0
350790,2014,0.0,1.0
350850,2014,6.0,7.0
350900,2014,25.0,37.0
350920,2014,0.0,1.0
350950,2014,511.0,577.0
350960,2014,0.0,2.0
351020,2014,0.0,4.0
351040,2014,7.0,10.0
351050,2014,16.0,17.0
351060,2014,44.0,91.0
351110,2014,68.0,68.0
351140,2014,0.0,3.0
351150,2014,0.0,6.0
351280,2014,7.0,7.0
351300,2014,35.0,50.0
351340,2014,10.0,10.0
351350,2014,21.0,25.0
351380,2014,75.0,134.0
351440,2014,10.0,10.0
351540,2014,0.0,3.0
351550,2014,18.0,18.0
351570,2014,27.0,61.0
351620,2014,80.0,92.0
351630,2014,29.0,60.0
351640,2014,38.0,84.0
351670,2014,0.0,1.0
351840,2014,46.0,49.0
351860,2014,0.0,4.0
351870,2014,43.0,50.0
351880,2014,235.0,289.0
351907,2014,0.0,3.0
351960,2014,8.0,8.0
352040,2014,0.0,4.0
352044,2014,5.0,9.0
352050,2014,58.0,61.0
352180,2014,0.0,1.0
352210,2014,20.0,20.0
352220,2014,36.0,66.0
352230,2014,11.0,15.0
352240,2014,20.0,31.0
352250,2014,37.0,69.0
352260,2014,11.0,21.0
352270,2014,4.0,4.0
352280,2014,0.0,3.0
352310,2014,20.0,20.0
352320,2014,0.0,4.0
352340,2014,20.0,25.0
352390,2014,55.0,73.0
352400,2014,0.0,2.0
352410,2014,10.0,12.0
352430,2014,12.0,14.0
352440,2014,88.0,95.0
352480,2014,24.0,26.0
352520,2014,0.0,3.0
352530,2014,53.0,54.0
352550,2014,0.0,3.0
352590,2014,142.0,170.0
352610,2014,0.0,1.0
352640,2014,0.0,2.0
352670,2014,8.0,8.0
352680,2014,5.0,5.0
352690,2014,71.0,88.0
352710,2014,28.0,28.0
352720,2014,20.0,20.0
352850,2014,0.0,1.0
352900,2014,100.0,120.0
